experience,trend,province,percentage
cash income as a result of the Cyclone,Increase,Torba,6%
cash income as a result of the Cyclone,Increase,Sanma rural,3%
cash income as a result of the Cyclone,Increase,Penama,1%
cash income as a result of the Cyclone,Increase,Malampa,10%
cash income as a result of the Cyclone,Increase,Shefa rural,2%
cash income as a result of the Cyclone,Increase,Tafea,36%
cash income as a result of the Cyclone,Increase,Luganville,0%
cash income as a result of the Cyclone,Increase,Port Vila,6%
cash income as a result of the Cyclone,Decrease,Torba,60%
cash income as a result of the Cyclone,Decrease,Sanma rural,79%
cash income as a result of the Cyclone,Decrease,Penama,88%
cash income as a result of the Cyclone,Decrease,Malampa,87%
cash income as a result of the Cyclone,Decrease,Shefa rural,51%
cash income as a result of the Cyclone,Decrease,Tafea,19%
cash income as a result of the Cyclone,Decrease,Luganville,8%
cash income as a result of the Cyclone,Decrease,Port Vila,10%
cash income as a result of the Cyclone,Stable,Torba,32%
cash income as a result of the Cyclone,Stable,Sanma rural,18%
cash income as a result of the Cyclone,Stable,Penama,11%
cash income as a result of the Cyclone,Stable,Malampa,3%
cash income as a result of the Cyclone,Stable,Shefa rural,46%
cash income as a result of the Cyclone,Stable,Tafea,44%
cash income as a result of the Cyclone,Stable,Luganville,89%
cash income as a result of the Cyclone,Stable,Port Vila,85%
cash income as a result of the Cyclone,Not Concerned,Torba,2%
cash income as a result of the Cyclone,Not Concerned,Sanma rural,1%
cash income as a result of the Cyclone,Not Concerned,Penama,1%
cash income as a result of the Cyclone,Not Concerned,Malampa,0%
cash income as a result of the Cyclone,Not Concerned,Shefa rural,1%
cash income as a result of the Cyclone,Not Concerned,Tafea,1%
cash income as a result of the Cyclone,Not Concerned,Luganville,2%
cash income as a result of the Cyclone,Not Concerned,Port Vila,0%
 food stocks as a result of the Cyclone,Increase,Torba,3%
 food stocks as a result of the Cyclone,Increase,Sanma rural,1%
 food stocks as a result of the Cyclone,Increase,Penama,0%
 food stocks as a result of the Cyclone,Increase,Malampa,10%
 food stocks as a result of the Cyclone,Increase,Shefa rural,0%
 food stocks as a result of the Cyclone,Increase,Tafea,29%
 food stocks as a result of the Cyclone,Increase,Luganville,0%
 food stocks as a result of the Cyclone,Increase,Port Vila,6%
 food stocks as a result of the Cyclone,Decrease,Torba,73%
 food stocks as a result of the Cyclone,Decrease,Sanma rural,86%
 food stocks as a result of the Cyclone,Decrease,Penama,94%
 food stocks as a result of the Cyclone,Decrease,Malampa,88%
 food stocks as a result of the Cyclone,Decrease,Shefa rural,51%
 food stocks as a result of the Cyclone,Decrease,Tafea,23%
 food stocks as a result of the Cyclone,Decrease,Luganville,7%
 food stocks as a result of the Cyclone,Decrease,Port Vila,8%
 food stocks as a result of the Cyclone,Stable,Torba,24%
 food stocks as a result of the Cyclone,Stable,Sanma rural,13%
 food stocks as a result of the Cyclone,Stable,Penama,6%
 food stocks as a result of the Cyclone,Stable,Malampa,1%
 food stocks as a result of the Cyclone,Stable,Shefa rural,47%
 food stocks as a result of the Cyclone,Stable,Tafea,47%
 food stocks as a result of the Cyclone,Stable,Luganville,92%
 food stocks as a result of the Cyclone,Stable,Port Vila,86%
 food stocks as a result of the Cyclone,Not Concerned,Torba,1%
 food stocks as a result of the Cyclone,Not Concerned,Sanma rural,1%
 food stocks as a result of the Cyclone,Not Concerned,Penama,0%
 food stocks as a result of the Cyclone,Not Concerned,Malampa,0%
 food stocks as a result of the Cyclone,Not Concerned,Shefa rural,1%
 food stocks as a result of the Cyclone,Not Concerned,Tafea,0%
 food stocks as a result of the Cyclone,Not Concerned,Luganville,1%
 food stocks as a result of the Cyclone,Not Concerned,Port Vila,1%
purchase of food items as a result of the cyclone,Increase,Torba,20%
purchase of food items as a result of the cyclone,Increase,Sanma rural,30%
purchase of food items as a result of the cyclone,Increase,Penama,70%
purchase of food items as a result of the cyclone,Increase,Malampa,6%
purchase of food items as a result of the cyclone,Increase,Shefa rural,52%
purchase of food items as a result of the cyclone,Increase,Tafea,28%
purchase of food items as a result of the cyclone,Increase,Luganville,3%
purchase of food items as a result of the cyclone,Increase,Port Vila,8%
purchase of food items as a result of the cyclone,Decrease,Torba,39%
purchase of food items as a result of the cyclone,Decrease,Sanma rural,52%
purchase of food items as a result of the cyclone,Decrease,Penama,3%
purchase of food items as a result of the cyclone,Decrease,Malampa,76%
purchase of food items as a result of the cyclone,Decrease,Shefa rural,1%
purchase of food items as a result of the cyclone,Decrease,Tafea,14%
purchase of food items as a result of the cyclone,Decrease,Luganville,4%
purchase of food items as a result of the cyclone,Decrease,Port Vila,9%
purchase of food items as a result of the cyclone,Stable,Torba,38%
purchase of food items as a result of the cyclone,Stable,Sanma rural,18%
purchase of food items as a result of the cyclone,Stable,Penama,26%
purchase of food items as a result of the cyclone,Stable,Malampa,18%
purchase of food items as a result of the cyclone,Stable,Shefa rural,45%
purchase of food items as a result of the cyclone,Stable,Tafea,51%
purchase of food items as a result of the cyclone,Stable,Luganville,92%
purchase of food items as a result of the cyclone,Stable,Port Vila,82%
purchase of food items as a result of the cyclone,Not Concerned,Torba,4%
purchase of food items as a result of the cyclone,Not Concerned,Sanma rural,0%
purchase of food items as a result of the cyclone,Not Concerned,Penama,1%
purchase of food items as a result of the cyclone,Not Concerned,Malampa,0%
purchase of food items as a result of the cyclone,Not Concerned,Shefa rural,1%
purchase of food items as a result of the cyclone,Not Concerned,Tafea,7%
purchase of food items as a result of the cyclone,Not Concerned,Luganville,1%
purchase of food items as a result of the cyclone,Not Concerned,Port Vila,1%
cash income as a result of the heavy rain / flooding / tsunami,Increase,Torba,6%
cash income as a result of the heavy rain / flooding / tsunami,Increase,Sanma rural,4%
cash income as a result of the heavy rain / flooding / tsunami,Increase,Penama,1%
cash income as a result of the heavy rain / flooding / tsunami,Increase,Malampa,5%
cash income as a result of the heavy rain / flooding / tsunami,Increase,Shefa rural,3%
cash income as a result of the heavy rain / flooding / tsunami,Increase,Tafea,47%
cash income as a result of the heavy rain / flooding / tsunami,Increase,Luganville,0%
cash income as a result of the heavy rain / flooding / tsunami,Increase,Port Vila,3%
cash income as a result of the heavy rain / flooding / tsunami,Decrease,Torba,55%
cash income as a result of the heavy rain / flooding / tsunami,Decrease,Sanma rural,79%
cash income as a result of the heavy rain / flooding / tsunami,Decrease,Penama,68%
cash income as a result of the heavy rain / flooding / tsunami,Decrease,Malampa,90%
cash income as a result of the heavy rain / flooding / tsunami,Decrease,Shefa rural,61%
cash income as a result of the heavy rain / flooding / tsunami,Decrease,Tafea,18%
cash income as a result of the heavy rain / flooding / tsunami,Decrease,Luganville,9%
cash income as a result of the heavy rain / flooding / tsunami,Decrease,Port Vila,7%
cash income as a result of the heavy rain / flooding / tsunami,Stable,Torba,37%
cash income as a result of the heavy rain / flooding / tsunami,Stable,Sanma rural,16%
cash income as a result of the heavy rain / flooding / tsunami,Stable,Penama,31%
cash income as a result of the heavy rain / flooding / tsunami,Stable,Malampa,5%
cash income as a result of the heavy rain / flooding / tsunami,Stable,Shefa rural,32%
cash income as a result of the heavy rain / flooding / tsunami,Stable,Tafea,36%
cash income as a result of the heavy rain / flooding / tsunami,Stable,Luganville,88%
cash income as a result of the heavy rain / flooding / tsunami,Stable,Port Vila,89%
cash income as a result of the heavy rain / flooding / tsunami,Not Concerned,Torba,2%
cash income as a result of the heavy rain / flooding / tsunami,Not Concerned,Sanma rural,1%
cash income as a result of the heavy rain / flooding / tsunami,Not Concerned,Penama,0%
cash income as a result of the heavy rain / flooding / tsunami,Not Concerned,Malampa,0%
cash income as a result of the heavy rain / flooding / tsunami,Not Concerned,Shefa rural,3%
cash income as a result of the heavy rain / flooding / tsunami,Not Concerned,Tafea,0%
cash income as a result of the heavy rain / flooding / tsunami,Not Concerned,Luganville,3%
cash income as a result of the heavy rain / flooding / tsunami,Not Concerned,Port Vila,0%
food items in stock as a result of the heavy rain / flooding / tsunami,Increase,Torba,4%
food items in stock as a result of the heavy rain / flooding / tsunami,Increase,Sanma rural,3%
food items in stock as a result of the heavy rain / flooding / tsunami,Increase,Penama,0%
food items in stock as a result of the heavy rain / flooding / tsunami,Increase,Malampa,4%
food items in stock as a result of the heavy rain / flooding / tsunami,Increase,Shefa rural,4%
food items in stock as a result of the heavy rain / flooding / tsunami,Increase,Tafea,33%
food items in stock as a result of the heavy rain / flooding / tsunami,Increase,Luganville,0%
food items in stock as a result of the heavy rain / flooding / tsunami,Increase,Port Vila,7%
food items in stock as a result of the heavy rain / flooding / tsunami,Decrease,Torba,55%
food items in stock as a result of the heavy rain / flooding / tsunami,Decrease,Sanma rural,79%
food items in stock as a result of the heavy rain / flooding / tsunami,Decrease,Penama,45%
food items in stock as a result of the heavy rain / flooding / tsunami,Decrease,Malampa,93%
food items in stock as a result of the heavy rain / flooding / tsunami,Decrease,Shefa rural,55%
food items in stock as a result of the heavy rain / flooding / tsunami,Decrease,Tafea,28%
food items in stock as a result of the heavy rain / flooding / tsunami,Decrease,Luganville,4%
food items in stock as a result of the heavy rain / flooding / tsunami,Decrease,Port Vila,5%
food items in stock as a result of the heavy rain / flooding / tsunami,Stable,Torba,40%
food items in stock as a result of the heavy rain / flooding / tsunami,Stable,Sanma rural,17%
food items in stock as a result of the heavy rain / flooding / tsunami,Stable,Penama,54%
food items in stock as a result of the heavy rain / flooding / tsunami,Stable,Malampa,2%
food items in stock as a result of the heavy rain / flooding / tsunami,Stable,Shefa rural,38%
food items in stock as a result of the heavy rain / flooding / tsunami,Stable,Tafea,39%
food items in stock as a result of the heavy rain / flooding / tsunami,Stable,Luganville,95%
food items in stock as a result of the heavy rain / flooding / tsunami,Stable,Port Vila,88%
food items in stock as a result of the heavy rain / flooding / tsunami,Not Concerned,Torba,1%
food items in stock as a result of the heavy rain / flooding / tsunami,Not Concerned,Sanma rural,1%
food items in stock as a result of the heavy rain / flooding / tsunami,Not Concerned,Penama,1%
food items in stock as a result of the heavy rain / flooding / tsunami,Not Concerned,Malampa,0%
food items in stock as a result of the heavy rain / flooding / tsunami,Not Concerned,Shefa rural,3%
food items in stock as a result of the heavy rain / flooding / tsunami,Not Concerned,Tafea,0%
food items in stock as a result of the heavy rain / flooding / tsunami,Not Concerned,Luganville,1%
food items in stock as a result of the heavy rain / flooding / tsunami,Not Concerned,Port Vila,0%
purchase of food items as a result of the heavy rain / flood / tsunami,Increase,Torba,8%
purchase of food items as a result of the heavy rain / flood / tsunami,Increase,Sanma rural,24%
purchase of food items as a result of the heavy rain / flood / tsunami,Increase,Penama,50%
purchase of food items as a result of the heavy rain / flood / tsunami,Increase,Malampa,3%
purchase of food items as a result of the heavy rain / flood / tsunami,Increase,Shefa rural,68%
purchase of food items as a result of the heavy rain / flood / tsunami,Increase,Tafea,25%
purchase of food items as a result of the heavy rain / flood / tsunami,Increase,Luganville,0%
purchase of food items as a result of the heavy rain / flood / tsunami,Increase,Port Vila,7%
purchase of food items as a result of the heavy rain / flood / tsunami,Decrease,Torba,38%
purchase of food items as a result of the heavy rain / flood / tsunami,Decrease,Sanma rural,55%
purchase of food items as a result of the heavy rain / flood / tsunami,Decrease,Penama,2%
purchase of food items as a result of the heavy rain / flood / tsunami,Decrease,Malampa,60%
purchase of food items as a result of the heavy rain / flood / tsunami,Decrease,Shefa rural,0%
purchase of food items as a result of the heavy rain / flood / tsunami,Decrease,Tafea,21%
